x y
797.3801055917768 1306.1593289563586
1304.2556261023472 607.894645602859
95.12543574908779 188.6734706677644
800.8073548171187 1299.3190578169404
394.9448257702211 1197.0353479932257
1292.2519504032073 599.2525359822699
796.8985798159833 1300.4301283025304
696.7576293781384 1104.4025004762661
197.0426112516486 925.2537714701864
208.7140268934695 900.3544198363384
1301.1234148230742 601.9528902129083
923.4993542476086 701.9745729839082
997.8004611879969 1494.7639742897622
892.9045293833104 706.0270407487645
1006.4595240454013 1505.307026823806
690.1727832715144 1095.624385385757
696.0231925821008 1096.9678451143848
201.66724824671687 903.5959625881128
999.3427427190512 1498.4796674715656
106.90222576381916 205.3114429632216
729.4516547939221 1083.5192345591356
1289.770986943776 589.6146200068783
91.74504430264349 196.74816707949697
195.97757459395 912.6682295160876
788.182538313958 1283.9484804131505
893.958542129613 705.6871685676794
1015.1229338627753 1493.5174266349743
800.3378769804636 1304.0008202541644
191.4359109925618 893.7763541957489
996.9631550191501 1490.5860242195697
1305.5402295452957 584.181541533484
895.1166850576551 707.5377351385769
803.2896135280477 1301.2209179688543
196.90943625265172 888.847008426771
895.0484736053909 703.0719847613893
384.70679730775277 1213.5325369803256
404.62887695819506 1204.2300603057042
708.4882115993947 1097.9619796715601
394.68428892747016 1202.0870317779784
803.3325551243179 1303.0613796254652
102.6046156664691 189.71559045464642
1003.6465432604991 1498.3737197515363
1292.2121095960572 602.3449833391707
1303.8085345730187 604.7411069743083
408.22080042101277 1194.6796662638926
998.0336291639709 1491.5410612827181
116.02532676488944 203.79182147558527
690.4272826184848 1091.362736126843
396.38426838361687 1202.4690245398442
107.64923702939468 202.91615111150003
107.06990480221509 206.3701084475078
896.3021643914784 698.6233966361165
916.7886501094522 698.171357573175
892.8641070181328 707.8496208615488
982.0319624928633 1495.9255839085197
114.93467205950266 192.89866989285616
1275.958482130155 589.7817712096742
406.33406211677243 1194.8442916197168
1291.903262763832 602.3210245648138
193.43589939060803 902.7969397134975
1282.1983984212761 594.4037476046885
786.3977056799105 1294.5437637727516
197.5581850537163 893.3625789695764
806.2719219335415 1285.7741470158446
101.04096111093516 203.73789508106094
797.4243938151653 1311.6855663036645
80.42744804943327 206.79878222027136
699.6390729846094 1096.661197023358
406.1022825905531 1192.1911086926266
219.6825810439218 902.6785528273691
1009.8731561774459 1505.7035985912812
695.4761665603183 1103.3208585452949
699.2166544624232 1108.5620558709263
1001.2355444719976 1517.4987437537936
391.1415018687321 1181.8312879720434
710.5037143749317 1107.1607204771499
896.010167396718 706.2963342328233
190.42612607039072 909.8207206989825
900.7197963986234 698.5715766071537
404.9081920474012 1187.6000838398068
